idx;x1;y1;x2;y2;width;height
0;0;0;30;38;31;39
1;34;0;66;38;33;39
2;84;0;122;38;39;39
3;126;0;156;38;31;39
4;160;0;198;38;39;39
5;202;0;241;38;40;39
6;244;0;284;38;41;39
7;302;0;341;38;40;39
8;344;0;422;38;79;39
9;429;0;460;38;32;39
10;463;0;501;38;39;39
